Escala de tiempo,Valores,Previsión,Límite de confianza inferior,Límite de confianza superior
01/01/2017,86329.80307,,,
01/02/2017,63623.52573,,,
01/03/2017,69042.61767,,,
01/04/2017,62820.4698,,,
01/05/2017,57871.08951,,,
01/06/2017,66530.62934,,,
01/07/2017,56426.62815,,,
01/08/2017,56641.05511,,,
01/09/2017,63693.02232,,,
01/10/2017,71039.01942,,,
01/11/2017,68395.21115,,,
01/12/2017,76962.1069,,,
01/01/2018,87260.55862,,,
01/02/2018,74261.74284,,,
01/03/2018,81683.25273,,,
01/04/2018,79359.22454,,,
01/05/2018,69155.19201,,,
01/06/2018,72219.76986,,,
01/07/2018,71296.06502,,,
01/08/2018,80014.55912,,,
01/09/2018,71475.4089,,,
01/10/2018,79976.75788,,,
01/11/2018,71126.5797,,,
01/12/2018,83734.45202,,,
01/01/2019,109608.4856,,,
01/02/2019,84531.96329,,,
01/03/2019,96829.25165,,,
01/04/2019,83501.49607,,,
01/05/2019,72030.0497,,,
01/06/2019,52099.07113,,,
01/07/2019,78401.40188,,,
01/08/2019,69054.01958,,,
01/09/2019,81425.85104,,,
01/10/2019,89136.55211,,,
01/11/2019,78909.94042,,,
01/12/2019,85880.59354,,,
01/01/2020,107665.0584,,,
01/02/2020,74635.44135,,,
01/03/2020,72882.96768,,,
01/04/2020,64885.0175,,,
01/05/2020,74472.30256,,,
01/06/2020,85183.32052,,,
01/07/2020,83383.57776,,,
01/08/2020,77347.72858,,,
01/09/2020,79704.26909,,,
01/10/2020,95814.81282,,,
01/11/2020,86252.39173,,,
01/12/2020,89223.49523,,,
01/01/2021,119762.4172,,,
01/02/2021,88934.97183,,,
01/03/2021,102944.3619,,,
01/04/2021,82615.44595,,,
01/05/2021,80277.96635,,,
01/06/2021,87121.57164,87121.57164,87121.57,87121.57
01/07/2021,,84270.33899,69203.16,99337.52
01/08/2021,,84251.61858,68713.39,99789.85
01/09/2021,,88014.50298,72015.51,104013.50
01/10/2021,,96285.74179,79835.38,112736.10
01/11/2021,,89142.02372,72248.94,106035.11
01/12/2021,,99049.98379,81722.14,116377.83
01/01/2022,,116931.4335,99176.19,134686.68
01/02/2022,,98142.9893,79967.18,116318.80
01/03/2022,,107941.5688,89351.55,126531.58
01/04/2022,,99891.92091,80893.63,118890.22
01/05/2022,,89049.0149,69647.98,108450.05
01/06/2022,,85297.73619,65499.16,105096.31
01/07/2022,,90104.96054,69910.75,110299.17
01/08/2022,,90086.24013,69504.01,110668.47
01/09/2022,,93849.12452,72883.18,114815.07
01/10/2022,,102120.3633,80774.78,123465.94
01/11/2022,,94976.64527,73255.28,116698.01
01/12/2022,,104884.6053,82791.09,126978.12
01/01/2023,,122766.055,100303.85,145228.26
01/02/2023,,103977.6108,81149.99,126805.24
01/03/2023,,113776.1904,90586.26,136966.12
01/04/2023,,105726.5425,82177.26,129275.83
01/05/2023,,94883.63645,70977.81,118789.46
01/06/2023,,91132.35774,66872.68,115392.04
